FISCAL_YEAR,HEALTH_AUTHORITY,HOSPITAL_NAME,PROCEDURE_GROUP,WAITING,COMPLETED,PCTWAITING
2009,Fraser,Abbotsford Regional Hospital and Cancer Centre,Bladder Surgery,192,248,0.436363636
2009,Fraser,Abbotsford Regional Hospital and Cancer Centre,Cholecystectomy,75,237,0.240384615
2009,Fraser,Abbotsford Regional Hospital and Cancer Centre,Dental Surgery,26,172,0.131313131
2009,Fraser,Abbotsford Regional Hospital and Cancer Centre,Examination Under Anaesthetic,8,12,0.4
2009,Fraser,Abbotsford Regional Hospital and Cancer Centre,Fracture Repair,6,29,0.171428571
2009,Fraser,Abbotsford Regional Hospital and Cancer Centre,Hand/Wrist Surgery,34,56,0.377777778
2009,Fraser,Abbotsford Regional Hospital and Cancer Centre,Hip Replacement,24,81,0.228571429
2009,Fraser,Abbotsford Regional Hospital and Cancer Centre,Knee Replacement,90,176,0.338345865
2009,Fraser,Abbotsford Regional Hospital and Cancer Centre,Nasal Surgery,28,49,0.363636364
2009,Fraser,Abbotsford Regional Hospital and Cancer Centre,Nerve Surgery,0,22,0
2009,Fraser,Abbotsford Regional Hospital and Cancer Centre,Tendon Surgery,7,16,0.304347826
2009,Fraser,Burnaby Hospital,Bladder Surgery,48,212,0.184615385
2009,Fraser,Burnaby Hospital,Cataract Surgery,899,1952,0.315327955
2009,Fraser,Burnaby Hospital,Cholecystectomy,75,164,0.313807531
2009,Fraser,Burnaby Hospital,Dental Surgery,0,22,0
2009,Fraser,Burnaby Hospital,Examination Under Anaesthetic,0,19,0
2009,Fraser,Burnaby Hospital,Facial Bone Reconstruction,0,0,1
2009,Fraser,Burnaby Hospital,Hand/Wrist Surgery,52,89,0.368794326
2009,Fraser,Burnaby Hospital,Hip Replacement,45,157,0.222772277
2009,Fraser,Burnaby Hospital,Knee Replacement,110,257,0.29972752
2009,Fraser,Burnaby Hospital,Nasal Surgery,172,192,0.472527473
2009,Fraser,Burnaby Hospital,Nerve Surgery,0,9,0
2009,Fraser,Burnaby Hospital,Tendon Surgery,0,12,0
2009,Fraser,Delta Hospital,Bariatric Surgery,5,16,0.238095238
2009,Fraser,Delta Hospital,Bladder Surgery,45,137,0.247252747
2009,Fraser,Delta Hospital,Cataract Surgery,238,615,0.27901524
2009,Fraser,Delta Hospital,Cholecystectomy,36,448,0.074380165
2009,Fraser,Delta Hospital,Dental Surgery,0,25,0
2009,Fraser,Delta Hospital,Fracture Repair,6,12,0.333333333
2009,Fraser,Delta Hospital,Hand/Wrist Surgery,10,20,0.333333333
2009,Fraser,Delta Hospital,Nasal Surgery,18,29,0.382978723
2009,Fraser,Delta Hospital,Tendon Surgery,0,0,1
2009,Fraser,Eagle Ridge Hospital,Bladder Surgery,48,171,0.219178082
2009,Fraser,Eagle Ridge Hospital,Cholecystectomy,129,277,0.31773399
2009,Fraser,Eagle Ridge Hospital,Dental Surgery,81,83,0.493902439
2009,Fraser,Eagle Ridge Hospital,Examination Under Anaesthetic,8,42,0.16
2009,Fraser,Eagle Ridge Hospital,Fracture Repair,9,97,0.08490566
2009,Fraser,Eagle Ridge Hospital,Hand/Wrist Surgery,29,77,0.273584906
2009,Fraser,Eagle Ridge Hospital,Hip Replacement,29,48,0.376623377
2009,Fraser,Eagle Ridge Hospital,Knee Replacement,98,82,0.544444444
2009,Fraser,Eagle Ridge Hospital,Nasal Surgery,204,162,0.557377049
2009,Fraser,Eagle Ridge Hospital,Nerve Surgery,50,121,0.292397661
2009,Fraser,Eagle Ridge Hospital,Tendon Surgery,7,38,0.155555556
2009,Fraser,Langley Memorial Hospital,Bladder Surgery,34,191,0.151111111
2009,Fraser,Langley Memorial Hospital,Cataract Surgery,334,1299,0.204531537
2009,Fraser,Langley Memorial Hospital,Cholecystectomy,44,217,0.168582375
2009,Fraser,Langley Memorial Hospital,Dental Surgery,34,135,0.201183432
2009,Fraser,Langley Memorial Hospital,Examination Under Anaesthetic,5,15,0.25
2009,Fraser,Langley Memorial Hospital,Facial Bone Reconstruction,17,40,0.298245614
2009,Fraser,Langley Memorial Hospital,Fracture Repair,9,25,0.264705882
